"Engine","Assertion","Failure Count","Category","WCAG 2.1 Checkpoint","Checkpoint Level"
"ARC Rules (4.3.2)","image lacking `alt` attribute","39","Errors","1.1.1 Non-text Content","A"
"ARC Rules (4.3.2)","link with image lacking `alt`","34","Errors","2.4.4 Link Purpose (In Context)","A"
"ARC Rules (4.3.2)","link without link text","34","Errors","2.4.4 Link Purpose (In Context)","A"
"ARC Rules (4.3.2)","form control without visible label text","1","Errors","1.1.1 Non-text Content","A"
"ARC Rules (4.3.2)","empty `value` attribute on submit/reset `<input>`","1","Errors","4.1.2 Name, Role, Value","A"
"ARC Rules (4.3.2)","form control using `placeholder` as label","1","Errors","2.4.6 Headings and Labels","AA"
"ARC Rules (4.3.2)","zooming disabled","1","Errors","1.4.4 Resize text","AA"
"ARC Rules (4.3.2)","`<a>` without `href=""...""`","5","Alerts","2.1.1 Keyboard","A"
"ARC Rules (4.3.2)","list with empty `<li>` list items","3","Alerts","1.3.1 Info and Relationships","A"
"ARC Rules (4.3.2)","heading level skipped","1","Alerts","1.3.1 Info and Relationships","A"
"ARC Rules (4.3.2)","missing bypass methods","1","Alerts","2.4.1 Bypass Blocks","A"
"ARC Rules (4.3.2)","missing `autocomplete` attribute or value","1","Alerts","1.3.5 Identify Input Purpose","AA"
